cp,colonia,tipo,municipio,estado,ciudad,ZONA,,,,,,,,,,,,,,,,,,,Caliente
44100,Guadalajara Centro,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,Tibio
44110,Vallarta Poniente,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,Frio
44130,Arcos Vallarta,Colonia,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44130,Arcos,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44140,Obrera Centro,Colonia,Guadalajara,Jalisco,Guadalajara,Frio,,,,,,,,,,,,,,,,,,,
44150,Barrera,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44150,Lafayette,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44158,Deitz,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44160,Americana,Colonia,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44170,San Antonio,Barrio,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44180,Mexicaltzingo,Barrio,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44190,Moderna,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44200,Artesanos,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44200,El Santuario,Barrio,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44200,Capilla de Jesús,Barrio,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44200,Sagrada Familia,Barrio,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44210,Jardines del Country,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44210,Jardines del Country 2a. Sección,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44214,Universidad,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44215,Parían,Condominio,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44216,Del Trabajo CTM,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Frio,,,,,,,,,,,,,,,,,,,
44216,Fidel Velázquez,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Frio,,,,,,,,,,,,,,,,,,,
44217,Residencial Vallarta Country,Conjunto habitacional,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44218,Fabrica de Atemajac,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44219,Casa Hogar CTM,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Frio,,,,,,,,,,,,,,,,,,,
44220,Circunvalación Metro Carballo,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44220,Guadalupana Sur,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44220,Santa Elena Alcalde Oriente,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44220,Santa Mónica,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44220,Santa Elena Alcalde Poniente,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44220,Guadalupana Norte,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44220,Simón Bolívar,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Frio,,,,,,,,,,,,,,,,,,,
44227,Jardines de Atemajac,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44230,Autocinema,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44230,Santa Elena de La Cruz,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44230,Santa Elena Estadio,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44230,División del Norte,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44240,Independencia INFONAVIT,Conjunto habitacional,Guadalajara,Jalisco,Guadalajara,Frio,,,,,,,,,,,,,,,,,,,
44240,Estadio,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44240,Lomas de Independencia,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44240,Rancho Nuevo,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44240,Residencial San Elias,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44240,Ricardo Flores Magón,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Frio,,,,,,,,,,,,,,,,,,,
44240,Nuevo Sur,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44240,Villas Del Estadio,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44240,Colomos Independencia,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Caliente,,,,,,,,,,,,,,,,,,,
44240,FOVISSSTE Independencia,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Frio,,,,,,,,,,,,,,,,,,,
44240,Paseos Independencia,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44246,Estadio Poniente,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44247,Rancho Nuevo INFONAVIT,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Frio,,,,,,,,,,,,,,,,,,,
44249,El Jaguey,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44250,Huentitán El Bajo,Colonia,Guadalajara,Jalisco,Guadalajara,Frio,,,,,,,,,,,,,,,,,,,
44250,Lomas del Paraíso 1a. Sección,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44250,Lomas del Paraíso 3a. Sección,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44250,Lomas del Paraíso 4a. Sección,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44250,Balcones de Huentitán,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44250,Praderas del Paraíso (Rinconadas del Paraíso),Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44250,Lomas del Paraíso 2a. Sección,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44250,Lomas del Paraíso 5a. Sección,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44257,INFONAVIT Planetario,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Frio,,,,,,,,,,,,,,,,,,,
44257,San Antonio,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44259,Panorámica Huentitán,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44259,Zoológico,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44260,La Normal,Barrio,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44260,Mezquitan Country,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44260,Miguel Galindo,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Frio,,,,,,,,,,,,,,,,,,,
44260,Niños Héroes,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44260,San Bernardo,Barrio,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44260,San Miguel de Mezquitan,Barrio,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44260,Barrio Mezquitan,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44260,Mezquitan,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44265,Ramón Corona,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Frio,,,,,,,,,,,,,,,,,,,
44266,Observatorio,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44267,Eugenia,Condominio,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44270,Alcalde Barranquitas,Colonia,Guadalajara,Jalisco,Guadalajara,Frio,,,,,,,,,,,,,,,,,,,
44270,Colinas de La Normal,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44270,Miraflores,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44280,El Retiro,Barrio,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44290,Independencia Poniente,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44290,Independencia,Colonia,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44298,Jardines Alcalde,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44299,Villas de San Juan,Unidad habitacional,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
44300,Esperanza,Colonia,Guadalajara,Jalisco,Guadalajara,Frio,,,,,,,,,,,,,,,,,,,
44300,Jardines de Santa Isabel,Fraccionamiento,Guadalajara,Jalisco,Guadalajara,Tibio,,,,,,,,,,,,,,,,,,,
